LE,GDP
65,584.25921
77.8,3954.22783
75.6,4132.76292
52.4,3695.793748
76.4,13566.9541
76.3,13467.1236
74.8,369.654776
82.8,56554.3876
81.5,43665.947
72.7,55.31382
76.9,22688.87824
71.8,121.15812
75.5,15557.8381
72.3,5949.11677
81.1,4356.875
71,4849.997495
60,783.94791
69.8,2613.645177
77.4,4574.9787
65.7,6532.651
75,8757.2622
77.7,3967.8951
74.5,6993.47736
59.9,615.592225
59.6,33.681223
73.3,2954.119467
68.7,1163.18977
57.3,1244.429421
82.2,43315.744
52.5,348.381417
53.1,777.248751
85,13653.2264
76.1,869.211938
74.8,644.525556
63.5,727.6463868
79.6,1146.36273
78,11579.6674
79.1,762.261218
85,2375.1127
86,5314.64416
63.5,1862.167274
73.9,6468.471648
76.2,625.62224
73.5,4127.11775
58.2,1347.31257
77.6,1774.9291
64.8,645.4637627
69.9,4921.89629
81.1,4245.39744
82.4,36526.7711
66,7388.984144
74.4,3764.64912
81,41176.88158
62.4,1361.11395
81,187.78991
73.6,9212.192824
71.9,3923.573344
59,554.48766
58.9,596.8717189
66.2,4136.689919
63.5,814.5463952
74.6,2326.15856
75.8,12365.6263
82.7,5734.4436
68.3,1613.18878
69.1,3336.16686
68.9,4974.2693
81.4,6664.144
82.5,35729.37253
82.7,349.14755
76.2,4965.989857
83.7,34474.13736
74.1,496.99275
72,159.9817
63.4,1349.97144
66.3,1424.483611
74.7,28975.418
74.6,13666.58336
74.9,846.632851
53.7,173.82893
61.4,452.38717
73.6,14252.42853
82,1199.8223
65.5,41.8575951
58.3,362.6575444
75,9643.644683
78.5,8395.785198
58.2,729.725338
81.7,23819.4636
63.1,1158.256469
74.6,9252.11724
76.7,9143.128494
68.8,3944.1839
76.1,6461.192554
74.3,2847.285569
57.6,528.3125597
66.6,1194.59137
65.8,4737.66996
69.2,743.7653489
81.9,44292.88473
81.6,3821.8937
74.8,295.966488
61.8,358.99731
54.5,2655.157977
81.8,7455.24654
76.6,16627.36433
66.4,1431.244865
77.8,13134.4367
74,419.367724
75.5,63.343259
68.5,2878.33837
77.5,12565.9876
81.1,1922.681
78.2,66346.52267
75,8958.788593
75,9329.298351
66.1,71.348397
74,4149.363444
67.5,1624.63963
74.5,2732.86172
66.7,98.7256145
75.6,5237.255334
73.2,1539.464
51,587.538233
83.1,53629.73746
88,2729.86383
69.2,1922.41388
55,426.98537
62.9,5769.77258
57.3,758.725782
82.8,25683.84565
74.9,3844.89123
64.1,2513.884661
71.6,8818.982566
58.9,3136.92511
82.4,5585.25847
83.4,8989.8424
69.7,918.6771543
74.9,5814.863134
68.3,1161.76935
59.9,551.138346
73.5,493.775387
71.2,17321.83373
75.3,3828.91589
75.8,1979.52569
66.3,6432.668768
62.3,693.8963829
71.3,2124.662666
77.1,3911.74689
77,15524.84247
69.4,2137.576852
72,285.83414
61.8,1313.889646
67,118.69383
